LOC_ID,site,land_cover,temp,temp_seas,land_temp,precip,precip_seas,water_dist,WDPA,closed_prop,open_prop,other_prop,ID.x,hum_pop,log_hum_pop,ID.y,slope,rough_range,ID,clay
MT43,KMM,11,19.82916641,76.55830383,30.38600349,1147,40.17144394,3594.824219,2,0.008243762,0.987824598,0.00393164,230,4074,8.312626026,230,2.216343681,2.826109647,230,31.63636364
MT44,KMM,2,19.83333397,76.46549225,30.57080269,1126,40.26365662,1953.156128,2,0.726765387,0.250657957,0.022576656,231,2084,7.642524134,231,2.5766875,3.311259237,231,31.67857143
MT45,KMM,11,19.86249924,76.60778809,30.88732719,1108,40.02231598,472.4763184,2,0.260797869,0.660905689,0.078296442,232,1260,7.139660336,232,3.03594862,3.94534024,232,31.26315789
MT46,KMM,11,19.47083282,75.78253937,28.86412239,1221,39.78733063,2792.988281,2,0.373434379,0.618670133,0.007895488,233,13150,9.48425308,233,11.89755345,16.86865616,233,35.0862069
MT47,KMM,11,19.49583435,76.20122528,29.46980095,1212,39.34026718,2524.790527,2,0.006944885,0.990613306,0.002441809,234,10531,9.262173521,234,4.215932479,5.561585274,234,34.4137931
MT48,KMM,11,19.59583282,77.44378662,29.91274834,1189,39.01165771,3717.947998,2,0.011605784,0.985001268,0.003392948,235,8648,9.065198986,235,2.740313811,3.531990216,235,33.01724138
MT49,KMM,11,19.66250038,76.75596619,30.25554466,1169,39.23936844,3539.195068,2,0,1,0,236,6657,8.803574418,236,2.478671798,3.199175057,236,32.35714286
Site 1 Block 3,KOJ,11,17.90833282,61.63799667,31.26757431,795,60.83658218,1574.921021,4,0,0.997874905,0.002125095,237,1071,6.977281342,237,3.627694549,4.883950362,237,28.86206897
Site 3 Block 3,KOJ,11,17.98749924,61.90626907,31.09144402,803,61.48398209,410.6891785,4,0.029149618,0.932058236,0.038792146,238,1037,6.945051064,238,3.144622564,4.199703151,238,27.54545455
Site 4 Block 3,KOJ,11,17.90416718,61.73471069,31.27030754,796,60.82464218,1087.722168,4,0.019090505,0.976501554,0.004407941,239,1108,7.011213987,239,3.290234871,4.389377946,239,26.94736842
Site 5 Block 3,KOJ,11,17.78750038,62.59992599,31.33258629,791,60.75098801,1922.436157,4,0.002536864,0.946662439,0.050800698,240,1169,7.064759028,240,2.787110778,3.701862381,240,28.65517241
Site 6 Block 3,KOJ,11,17.77499962,61.9567337,31.11585045,801,61.92908859,1563.857788,4,0.003170778,0.99384869,0.002980531,241,1293,7.165493475,241,2.69272332,3.568892558,241,28.35714286
Site 7 Block 3,KOJ,11,18.02499962,63.44289017,31.02378082,816,63.66922379,281.7304382,4,0.014910694,0.974905618,0.010183687,242,1214,7.102499356,242,2.788564456,3.686096031,242,28.17241379
Site 8 Block 3,KOJ,11,18.03333282,63.11365509,31.06590843,811,63.18861389,1055.314697,4,0.128310024,0.859258555,0.012431421,243,1060,6.966967139,243,2.775306082,3.691963441,243,27.81034483
Site 9 Block 3,KOJ,11,17.96666718,64.46750641,31.06590843,803,63.38119888,348.6236572,4,0.223289887,0.744553325,0.032156788,244,1143,7.042286172,244,2.634030143,3.467796368,244,28.47457627
